,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
96,TODO LO QUE TIENES QUE SABER SOBRE LA VIDA,"ROJAS, ENRIQUE",Autoayuda y espiritualidad,37,8,2,Muy bueno,0,"En una sociedad en la que se ha ido abandonando poco a poco la educación sentimental para convertir en auténticos valores el dinero, la competitividad o la urgencia por vivir deprisa, tratar lo que es"
97,ESCUELAS CREATIVAS. La revolución que está transformando la educación,"ROBINSON, KEN",Autoayuda y espiritualidad,38,8,2,Muy bueno,0,Robinson desarrolla en Escuelas creativas las ideas de su famosa charla TED «Cómo la escuela mata la creatividad» y ofrece soluciones innovadoras y revolucionarias para uno de los problemas más releva
98,GUÍA ESPIRITUAL,"MOLINOS, MIGUEL DE",Autoayuda y espiritualidad,39,8,1,Muy bueno,0,"

"
99,CUANDO EL FINAL SE ACERCA. Cómo afrontar la muerte con sabiduría,"MANNIX, KATHRYN",Autoayuda y espiritualidad,40,8,1,Muy bueno,1,"Kathryn Mannix, doctora pionera y especialista en cuidados paliativos, nos ofrece respuestas a las preguntas más íntimas en torno al proceso de la muerte, y lo hace con una delicadeza y sinceridad que"
100,EL ARTE DE DOMAR EL TIGRE,"AKONG, RIMPOCHE",Autoayuda y espiritualidad,41,8,1,Muy bueno,0,"Este libro ofrece un método sencillo para madurar la mente y encontrar una felicidad personal que no esté desvinculada de la de los demás. En la primera parte del libro, Akong Rimpoché expone los prin"
101,UNA FORMA DE VIVIR,"FOX, EMMET",Autoayuda y espiritualidad,42,8,1,Muy bueno,0,"

"
102,OPTIMISMO Y SALUD. Lo que la ciencia sabe de los beneficios del pensamiento positivo,"ROJAS MARCOS, LUIS",Autoayuda y espiritualidad,43,8,1,Muy bueno,0,"«A lo largo de los años, tanto en mi vida personal como en el mundo de la medicina, la psiquiatría y la salud pública, he tenido oportunidad de confirmar, en incontables ocasiones, que la forma de per"
103,NO HAY MAL QUE POR BIEN NO VENGA Y OTRAS MENTIRAS PIADOSAS,"BOWLER, KATE",Autoayuda y espiritualidad,44,8,1,Muy bueno,1,"Cuando Kate Bowler pierde 15 kilos de la nada y tiene constantes dolores de estómago, comienza una peregrinación en varios hospitales para averiguar qué le pasa. Solo al hacerle una resonancia magnéti"
104,TÚ HABLA QUE YO TE LEO. Las claves de la comunicación no verbal,"MARTÍN OVEJERO, JOSÉ LUIS",Autoayuda y espiritualidad,45,8,1,Muy bueno,0,"El rostro, los gestos, el cuerpo, incluso la manera de hablar revelan qué sentimos, solo hay que saber interpretarlos. Aprende más de cien claves que te permitirán descifrar los secretos de la forma d"
105,"UN NUEVO ORDEN. Espacios ordenados, mentes creativas y felices","WOLF, FAY",Autoayuda y espiritualidad,46,8,1,Muy bueno,0,"¿Puede un espacio ordenado alimentar a una mente creativa? '¡Claro que sí!', dice la experta organizadora Fay Wolf, que ha ayudado a personas de todo tipo, desde famosos de Hollywood hasta maestros de"
106,EL CUARTO CAMINO,"OUSPENSKY, P. D.",Autoayuda y espiritualidad,47,8,1,Muy bueno,0,¿Cómo modificar este mundo donde predominan el engaño y las emociones negativas?¿Qué es el hombre? ¿Qué es la religión?¿En qué se diferencian la teoría de la reencarnación y la recurrencia?¿Por qué no
107,EL MANUSCRITO SECRETO DEL FAQUIR,"CALLE, RAMIRO",Autoayuda y espiritualidad,48,8,1,Muy bueno,0,"A pesar de sus múltiples esfuerzos, Hernán no ha conseguido alcanzar la paz en Occidente y regresa a la India. Emprende el viaje llevado por el desasosiego interior, movido por la noticia de un manusc"
108,LA EXPERIENCIA DEL CONOCIMIENTO INTUITIVO,"GOLDSTEIN, JOSEPH",Autoayuda y espiritualidad,49,8,1,Muy bueno,1,De vez en cuando aparece un libro que tiene un valor especial para las personas que estudian la naturaleza de la realidad. Joseph Goldstein enseña meditación como método para experimentar las cosas ta
109,STOP NO SEAS IDIOTA. Acaba con el autosabotaje y recupera tu vida,"BISHOP, GARY JOHN",Autoayuda y espiritualidad,50,8,1,Muy bueno,0,"¿Por qué actúas como lo haces? ¿alguna vez te sientes atrapado en ciclos destructivos que te impiden llevar la vida que realmente quieres? Este libro es un viaje dinámico, irresistible y divertido que"
110,EL MUNDO DE AYER: Memorias de un europeo,"ZWEIG, STEFAN",Biografias memorias,1,8.83,145,Muy bueno,27,"El mundo de ayer es uno de los más conmovedores y atractivos testimonios de nuestro pasado reciente, escrito además con mano maestra por un europeo empapado de civilización y nostalgia por un mundo, e"
111,MARIA ANTONIETA,"ZWEIG, STEFAN",Biografias memorias,2,8.5,72,Muy bueno,17,"María Antonieta nació en Viena en 1755, hija del emperador austríaco Francisco I y de María Teresa. En mayo de 1770 contrajo matrimonio, cuando tenía catorce años, con Luis XVI de Francia. De nuevo la"
112,CISNES SALVAJES,"CHANG, JUNG",Biografias memorias,3,8.45,58,Muy bueno,7,"Una abuela, una madre, una hija. A lo largo de esta saga, tan verídica como espeluznante, tres mujeres luchan por sobrevivir en una China sometida a guerras, invasiones y revoluciones. La abuela de la"
113,FOUCHÉ,"ZWEIG, STEFAN",Biografias memorias,4,8.43,48,Muy bueno,4,"Joseph Fouché (1759-1820) fue uno de los personajes más controvertidos de la Revolución Francesa. Hipócrita, tenebroso y maquiavélico, votó a favor de la muerte de Luis XVI y María Antonieta y fue res"
114,MEMORIAS DE LA CASA MUERTA,"DOSTOIEVSKII, FIODOR M. (Fiódor Dostoyevski)",Biografias memorias,5,8.21,33,Muy bueno,3,En 1849 Fiódor Dostoievski fue sometido a una condena de ocho años de trabajos forzados en Siberia acusado de «crímenes contra la seguridad del Estado». En 1862 aparecería en forma de libro Memorias d
115,ANTE TODO NO HAGAS DAÑO,"MARSH, HENRY",Biografias memorias,6,8.06,35,Muy bueno,5,"A punto de poner fin a una dilatada carrera plena de éxitos y reconocimiento, Henry Marsh —uno de los neurocirujanos más eminentes de Gran Bretaña— ha querido exponer a los ojos del mundo la esencia d"
116,CIEN AÑOS DE SOLEDAD Y UN HOMENAJE. Discursos de Gabriel García Márquez y Carlos Fuentes,"GARCÍA MÁRQUEZ, GABRIEL y FUENTES, CARLOS",Biografias memorias,7,8.05,367,Muy bueno,20,"En una bella edición y dentro de su colección Centzontle, FCE recupera los discursos de Gabriel García Márquez y Carlos Fuentes pronunciados en torno a una conmemoración única: los 80 años del Premio "
117,LIMÓNOV,"CARRÈRE, EMMANUEL",Biografias memorias,8,8.05,92,Muy bueno,17,«Limónov no es un personaje de ficción. Existe y yo lo conozco» advierte Emmanuel Carrère. Esta novela biográfica o biografía novelada reconstruye la vida de un personaje real que parece surgido de la
118,EL LIBRO DE LOS ABRAZOS,"GALEANO, EDUARDO",Biografias memorias,9,8.04,210,Muy bueno,23,"Obra genial tanto por su originalidad como por su capacidad expresiva, impactante más si cabe por la sencillez con que está escrita. Los nadies: los hijos de nadie, los dueños de nada. Los nadies: los"
119,OPEN: MEMORIAS,"AGASSI, ANDRE",Biografias memorias,10,8.04,147,Muy bueno,29,"Siendo un bebé, le pusieron una raqueta de juguete en la mano. Desde entonces, Agassi no ha hecho otra cosa que golpear pelotas de tenis. Su padre, obsesionado en convertirlo en un astro del deporte, "
120,"INSTRUMENTAL. Memorias de música, medicina y locura","RHODES, JAMES",Biografias memorias,11,7.99,141,Muy bueno,20,Me violaron a los seis años. Me internaron en un psiquiátrico. Fui drogadicto y alcohólico. Me intenté suicidar cinco veces. Perdí la custodia de mi hijo. Pero no voy a hablar de eso. Voy a hablar de 
121,JUANA LA LOCA,"FERNÁNDEZ ÁLVAREZ, MANUEL",Biografias memorias,12,8.02,38,Muy bueno,7,"La historia de Juana de Castilla, ""Juana la loca"" fue convertida en una sombra, primero por su marido, Felipe el Hermoso; después por su padre, Fernando el Católico, quien la recluye en Tordesillas; y"
122,MAGALLANES,"ZWEIG, STEFAN",Biografias memorias,13,7.97,35,Muy bueno,6,"En 1518 un portugués exiliado en España, Fernando de Magallanes, convenció a Carlos I de lo que parecía un proyecto desmesurado: «Existe un camino que conduce del océano Atlántico al océano Índico. Da"
123,COSAS QUE LOS NIETOS DEBERÍAN SABER,"EVERETT, MARK OLIVER",Biografias memorias,14,7.93,52,Muy bueno,3,"Mark Oliver Everett, el llamado ‘Kurt Vonnegut’ del rock independiente, líder y cerebro de la banda Eels, es hijo del físico cuántico Hugh Everett, que inventó la teoría de los mundos paralelos y en e"
124,ÉRAMOS UNOS NIÑOS,"SMITH, PATTI",Biografias memorias,15,7.87,50,Muy bueno,5,"Era el mes de julio de 1967 y eran unos niños, pero a partir de entonces Patti Smith y Robert Mapplethorpe sellaron una amistad que solo acabaría con la muerte del gran fotógrafo en 1989. De eso habla"
125,STEVE JOBS. La biografía,"ISAACSON, WALTER",Biografias memorias,16,7.86,96,Muy bueno,10,"La muerte de Steve Jobs ha conmocionado al mundo. Tras entrevistarlo en más de cuarenta ocasiones en los últimos dos años, además de a un centenar de personas de su entorno, familiares, amigos, advers"
126,VENDIDAS,"MUHSEN, ZANA y CROFTS, ANDREW",Biografias memorias,17,7.77,33,Muy bueno,5,"Un hecho verídico estremecedor. Unos 1.500 € es el precio por el que Muthana Muhsen vendió a sus hijas, Zana, de quince años, y Nadia, de catorce. Después de unas fantásticas vacaciones, las niñas fue"
127,REINAS MALDITAS,"MORATÓ, CRISTINA",Biografias memorias,18,7.69,51,Muy bueno,9,"El fascinante relato de la vida de seis mujeres que han dejado una profunda huella en la historia y que inspiraron a Hollywood. Así fueron y así vivieron seis reinas legendarias: la Emperatriz Sissi, "
128,LA FORJA DE UN REBELDE,"BAREA, ARTURO",Biografias memorias,19,7.68,56,Muy bueno,6,"Las tres novelas de corte autobiográfico que se reúnen bajo el título de La forja de un rebelde son su obra cumbre. La primera de ellas, La forja, narra la infancia y adolescencia del protagonista. La"
129,CONFIESO QUE HE VIVIDO,"NERUDA, PABLO",Biografias memorias,20,7.66,171,Muy bueno,6,De cuanto he dejado escrito en estas páginas se desprenderán siempre -como en las arboledas de otoño y como en el tiempo de las viñas- las hojas amarillas que van a morir y las uvas que revivirán en e
130,YO SOY MALALA,"YOUSAFZAI, MALALA y LAMB, CHRISTINA",Biografias memorias,21,7.65,68,Muy bueno,9,"Cuando los talibanes tomaron el control del valle de Swat en Pakistán, una niña alzó su voz. Malala Yousafzai se negó a ser silenciada y luchó por su derecho a la educación. El martes 9 de octubre de "
131,MIENTRAS ESCRIBO,"KING, STEPHEN",Biografias memorias,22,7.63,165,Muy bueno,17,"Una obra insólita y peculiar en la producción del maestro del terror contemporáneo. Por esta vez, Stephen King abandona su escalofriante universo literario para centrarse en su propia persona. Autobio"
132,LAS CENIZAS DE ÁNGELA,"MCCOURT, FRANK",Biografias memorias,23,7.62,1.016,Muy bueno,60,"«Cuando recuerdo mi infancia, me pregunto cómo pude sobrevivir siquiera. Fue, naturalmente, una infancia desgraciada, se entiende; las infancias felices no merecen que les prestemos atención. La infan"
133,HISTORIAS DE MUJERES,"MONTERO, ROSA",Biografias memorias,24,7.59,49,Muy bueno,2,"«Esta obra es todo lo contrario a un catálogo hagiográfico de mujeres perfectas. Nunca deseé hacer tal cosa. No sólo no creo que las mujeres tengamos que ser forzosamente admirables, sino que además l"
134,ANTES DEL FIN,"SABATO, ERNESTO",Biografias memorias,25,7.54,35,Muy bueno,1,"La historia de un joven nacido en la pampa, que emprende con éxito una carrera altamente especializada en el mundo científico, para luego, abandonarla por la literatura y el arte, en un gesto valeroso"
135,EL DIARIO DE UNA ADOLESCENTE (ANA FRANK),"FRANK, ANA",Biografias memorias,26,7.47,174,Muy bueno,8,"Ésta edición definitiva del célebre Diario de Ana Frank, y la primera traducida directamente al castellano a partir del orignal holandés. Su texto amplía en una cuarta parte las ediciones anteriores y"
136,EL PODER DEL AHORA. Una guía para la iluminación espiritual,"TOLLE, ECKHART",Biografias memorias,27,7.44,142,Muy bueno,16,"Para adentrarse en El Poder del Ahora tendremos que dejar atrás nuestra mente analítica y su falso yo, el ego. Desde la primera página de este extraordinario libro nos elevamos a una mayor altura y re"
137,UN GATO CALLEJERO LLAMADO BOB,"BOWEN, JAMES",Biografias memorias,28,7.44,34,Muy bueno,8,"Cuando el músico callejero James Bowen encontró a un gato pelirrojo herido acurrucado en el descansillo de su piso, no podía imaginar hasta qué punto su vida iba a cambiar. James vivía al día en las c"
138,FACTOTUM,"BUKOWSKI, CHARLES",Biografias memorias,29,7.43,222,Muy bueno,16,"En esta novela autobiográfica de sus años de juventud, el autor nos describe la vida de su alter ego Henry Chinaski saltando de un empleo a otro, todos sórdidos, duros, sin sentido, emborrachándose a "
139,LOS SUBTERRÁNEOS,"KEROUAC, JACK",Biografias memorias,30,7.41,41,Muy bueno,2,"Los subterráneos es una de las mejores novelas de Jack Kerouac; en ella se precisa su voluntad de llevar a cabo una suerte de autobiografía literaria que será, al propio tiempo, una crónica legendaria"
140,CARTA AL PADRE,"KAFKA, FRANZ",Biografias memorias,31,7.39,87,Muy bueno,10,"La carta más famosa del siglo XX jamás llegó a su destinatario. Ni siquiera fue enviada. La escribió Franz Kafka de un tirón entre el 4 y el 20 de noviembre de 1919, y está dirigida a su padre, Herman"
141,JUVENTUD,"COETZEE, J.M.",Biografias memorias,32,7.39,36,Muy bueno,6,"Evocación en forma de memorias donde J. M. Coetzee revisita su juventud, período fundamental de aprendizaje para el autor y narrador de la historia, un estudiante de matemáticas e inglés que quiere se"
142,MARTES CON MI VIEJO PROFESOR,"ALBOM, MITCH",Biografias memorias,33,7.36,291,Muy bueno,46,Un libro sencillo e intenso que encierra profundas verdades. Conversaciones entre Mitch y su antiguo profesor de la universidad todos los martes. Una historia real para un libro de culto. El libro que
143,EL CASTILLO DE CRISTAL,"WALLS, JEANNETTE",Biografias memorias,34,7.36,96,Muy bueno,24,"Una historia transformadora sobre la locura, la pobreza y el amor.  Algunas pocas veces en la vida nos encontramos con libros excepcionales. Libros que se nos van imponiendo lentamente, que nos envuel"
144,GROUCHO Y YO,"MARX, GROUCHO",Biografias memorias,35,7.36,61,Muy bueno,5,"Groucho y su yo, fundidos aquí en uno solo, escribieron, como era inevitable suponer, un libro que sólo puede escribirse como, bueno, indescriptible. También será inevitable, si el lector siente la cu"
145,NO SIN MI HIJA,"MAHMOODY, BETTY y HOFFER, WILLIAM",Biografias memorias,36,7.34,206,Muy bueno,14,"Esta es una historia real. El 3 de agosto de 1984, Betty Mahmoody y su marido, un medico iraní afincado en Estados Unidos, se van de vacaciones a Teherán con su hija Mahtib, de cuatro años. Transcurri"
146,PAULA,"ALLENDE, ISABEL",Biografias memorias,37,7.33,847,Muy bueno,37,"Cualquier libro de Isabel Allende es un acontecimiento. Paula lo es especialmente porque se trata del más conmovedor, más personal y más íntimo de todos los que ha publicado hasta la fecha. Cuando la "
147,APEGOS FEROCES,"GORNICK, VIVIAN",Biografias memorias,38,7.33,53,Muy bueno,7,"Pocas veces en la literatura se ha retratado de manera tan humana, vital y honesta la relación entre una madre y su hija como en Apegos feroces, las memorias de la escritora y activista Vivian Gornick"
148,FLOR DEL DESIERTO,"DIRIE, WARIS",Biografias memorias,39,7.33,39,Muy bueno,5,"Waris Dirie, la autora evoca su infancia, su vida feliz en el desierto, los juegos con sus hermanos y su estrecha relación con los animales. A los cinco años le practican la ablación, cosa que la deja"
149,EL TERCER OJO,"LOBSANG RAMPA, T.",Biografias memorias,40,7.28,86,Muy bueno,6,"Este libro narra las experiencias vividas por el protagonista durante su infancia en el Tibet, su introducción en el mundo de los lamas y sus extraordinarias viviencias de iniciación por el tortuoso c"
150,AL FARO,"WOOLF, VIRGINIA",Biografias memorias,41,7.28,58,Muy bueno,12,"Virginia Woolf explora en Al faro su propio pasado familiar y vuelca aquellos interrogantes que siempre la inquietaron: la razón de la vida, el beneficio o la inutilidad de alcanzar una meta y la inev"
151,BIOGRAFÍA DEL HAMBRE,"NOTHOMB, AMÉLIE",Biografias memorias,42,7.27,50,Muy bueno,0,"Nos hallamos ante un libro autobiográfico que también es una apología contagiosa del apetito. No obstante haber padecido anorexia durante dos años , en el relato Amélie Nothomb explica su vida a travé"
152,A PROPÓSITO DE NADA. Autobiografia,"ALLEN, WOODY",Biografias memorias,43,7.23,50,Muy bueno,12,"""A propósito de nada"" es la autobiografía de Woody Allen en la que se ofrece un repaso completo de su vida, tanto personal como profesional, y se describe su labor en películas, teatro, televisión, cl"
